Name,Indian rupee
11/22/1979,3189.66
11/23/1979,3167.58
11/26/1979,3171.99
11/27/1979,3178.67
11/28/1979,3250.59
11/29/1979,3286.54
11/30/1979,3310.29
12/3/1979,3392.28
12/4/1979,3520.03
12/5/1979,3473.04
12/6/1979,3513.05
12/7/1979,3512.48
12/10/1979,3521.22
12/11/1979,3583.37
12/12/1979,3648.78
12/13/1979,3701.55
12/14/1979,3713.98
12/17/1979,3739.68
12/18/1979,3832.28
12/19/1979,3988.04
12/20/1979,3863.07
12/21/1979,3839.08
12/24/1979,3831.69
12/25/1979,3831.69
12/26/1979,3831.69
12/27/1979,4033.71
12/28/1979,4106.49
12/31/1979,4189.64
1/1/1980,4189.64
1/2/1980,4438.86
1/3/1980,5023.01
1/4/1980,4742.19
1/7/1980,4985.1
1/8/1980,4852.79
1/9/1980,4746.35
1/10/1980,4832.57
1/11/1980,4851.16
1/14/1980,5113.87
1/15/1980,5385.81
1/16/1980,6066.57
1/17/1980,5751.92
1/18/1980,6496.22
1/21/1980,6710.04
1/22/1980,6074.46
1/23/1980,5166.88
1/24/1980,5660.96
1/25/1980,5533.18
1/28/1980,5066.12
1/29/1980,5432.16
1/30/1980,5616.57
1/31/1980,5329.61
2/1/1980,5385.32
2/4/1980,5330.72
2/5/1980,5243.79
2/6/1980,5467.27
2/7/1980,5560.17
2/8/1980,5443.78
2/11/1980,5636.62
2/12/1980,5567.6
2/13/1980,5475.31
2/14/1980,5405.72
2/15/1980,5352.19
2/18/1980,5260.19
2/19/1980,5292.9
2/20/1980,4980.62
2/21/1980,5138.4
2/22/1980,5138.14
2/25/1980,4992.86
2/26/1980,5092.09
2/27/1980,5022.32
2/28/1980,5097.43
2/29/1980,5138.08
3/3/1980,5159.64
3/4/1980,5137.15
3/5/1980,5200.39
3/6/1980,5143.98
3/7/1980,4893.18
3/10/1980,4909.16
3/11/1980,4616.08
3/12/1980,4709.74
3/13/1980,4667.46
3/14/1980,4093.85
3/17/1980,3933.37
3/18/1980,3844.19
3/19/1980,4181.66
3/20/1980,4553.65
3/21/1980,4367.78
3/24/1980,4440.95
3/25/1980,4474.39
3/26/1980,4272.94
3/27/1980,3975.03
3/28/1980,4010.51
3/31/1980,4155.35
4/1/1980,4239.39
4/2/1980,4064.9
4/3/1980,4037.07
4/4/1980,4037.07
4/7/1980,4037.07
4/8/1980,4211.69
4/9/1980,4425.36
4/10/1980,4354.69
4/11/1980,4296.35
4/14/1980,4289.65
4/15/1980,4016.33
4/16/1980,4108.51
4/17/1980,4118.01
4/18/1980,4127.04
4/21/1980,4095.66
4/22/1980,3964.22
4/23/1980,4009.99
4/24/1980,4089.54
4/25/1980,4369.92
4/28/1980,4230.5
4/29/1980,4084.79
4/30/1980,4155.21
5/1/1980,4060.12
5/2/1980,4065.53
5/5/1980,4065.53
5/6/1980,4089.61
5/7/1980,4035.04
5/8/1980,4060.25
5/9/1980,4062.02
5/12/1980,4027.61
5/13/1980,4041.1
5/14/1980,4089.65
5/15/1980,4061.27
5/16/1980,4089.82
5/19/1980,4071.62
5/20/1980,4029.38
5/21/1980,3987.75
5/22/1980,4115.67
5/23/1980,3968.62
5/26/1980,3968.62
5/27/1980,3915.44
5/28/1980,4075.74
5/29/1980,4068.39
5/30/1980,4152.26
6/2/1980,4419.7
6/3/1980,4407.84
6/4/1980,4478.8
6/5/1980,4573.12
6/6/1980,4606.79
6/9/1980,4897.75
6/10/1980,4756.93
6/11/1980,4676.55
6/12/1980,4617.15
6/13/1980,4768.46
6/16/1980,4690.62
6/17/1980,4646.33
6/18/1980,4732.04
6/19/1980,4691.67
6/20/1980,4742.9
6/23/1980,4662.13
6/24/1980,4710.47
6/25/1980,4889.56
6/26/1980,4877.3
6/27/1980,4937
6/30/1980,5150.43
7/1/1980,5102.19
7/2/1980,5235.04
7/3/1980,5198.66
7/4/1980,5193.63
7/7/1980,5107.66
7/8/1980,5353.55
7/9/1980,5271.49
7/10/1980,5165.92
7/11/1980,5147.9
7/14/1980,5031.39
7/15/1980,4828.31
7/16/1980,4856.55
7/17/1980,4883.37
7/18/1980,4741.97
7/21/1980,4803.91
7/22/1980,4726.75
7/23/1980,4891.77
7/24/1980,4894.39
7/25/1980,5038.61
7/28/1980,4958.84
7/29/1980,5038.03
7/30/1980,5002.75
7/31/1980,4813.23
8/1/1980,5013.99
8/4/1980,4846.42
8/5/1980,4892.37
8/6/1980,4851.17
8/7/1980,4913.84
8/8/1980,4902.9
8/11/1980,4769.37
8/12/1980,4762.27
8/13/1980,4776.44
8/14/1980,4830.48
8/15/1980,4845.58
8/18/1980,4719.26
8/19/1980,4847.06
8/20/1980,4846.25
8/21/1980,4981.63
8/22/1980,4966.83
8/25/1980,4966.83
8/26/1980,4871.63
8/27/1980,4884.04
8/28/1980,4915.7
8/29/1980,4903.62
9/1/1980,4823.32
9/2/1980,4860.02
9/3/1980,4905.66
9/4/1980,4905.3
9/5/1980,5000.6
9/8/1980,5073.15
9/9/1980,5233.45
9/10/1980,5306.26
9/11/1980,5212.18
9/12/1980,5343.69
